firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes
"ASC, Apex Safety Consultants, LLC",1301 REGENTS PARK DR #101,,HOUSTON,TX,77058,5/31/2020,5/26/2000,2814881507,SP,27,
ARIAS & ASSOCIATES INC DBA Arias/Arias Geoprofessionals,ATTN Amber Hawkins,142 CHULA VISTA Drive,SAN ANTONIO,TX,78232,5/31/2020,5/26/2000,2103085884,NS,32,
"ARJO ENGINEERS, INC","5501 LBJ Freeway, Suite 435",,Dallas,TX,75240,5/31/2020,5/26/2000,214 520 7799,NS,33,
Ascent Engineering Inc,12 Greenway Plaza Ste 1100 (PMB 142),,Houston,TX,77046-1203,5/31/2020,5/26/2000,8778243620,NS,36,
"Civil & Environmental Consultants, Inc.",3711 S Mopac Expressway,"Building 1, Suite 550",Austin,TX,78746,5/31/2020,5/26/2000,512-329-0006,NS,38,
ATSER LP,ATTN  Charlene Martinez,1150 RICHCREST DR,HOUSTON,TX,77060,5/31/2020,5/26/2000,2819999961,NS,39,
AUSTROP ENGINEERING INC,2851 LA VENTANA PKWY,,DRIFTWOOD,TX,78619,5/31/2020,5/26/2000,512 858 1023,SP,40,Domain not found. Load the address
AVIATION ALLIANCE INC,PO BOX 799,,COLLEYVILLE,TX,76034-0799,5/31/2020,5/26/2000,8174980388,NS,41,
AVILES ENGINEERING CORPORATION,5790 WINDFERN RD,,HOUSTON,TX,77041,5/31/2020,5/26/2000,713 895 7645,NS,42,
Axiom Engineers Inc.,P.O. Box 277,,Columbus,TX,78934,5/31/2020,5/26/2000,512-784-5892,NS,43,
"BAIRD HAMPTON & BROWN, INC.",6300 RIDGLEA PLACE STE 700,,FT. WORTH,TX,76116,5/31/2020,5/26/2000,817 338 1277,NS,44,
BARNEY BALLARD CORPORATION,PO BOX 545,,BURLESON,TX,76097,5/31/2020,5/26/2000,817 295 4891,SP,48,
BARRY ENGINEERING INC,21834 NORTHWEST FRWY,,HOUSTON,TX,77429,5/31/2020,5/26/2000,281-664-1600,NS,51,
BASS & WELSH ENGINEERING,PO BOX 6397,,CORPUS CHRISTI,TX,78466-6397,5/31/2020,5/26/2000,3618825521,NS,52,
THE ARIZPE GROUP INC DBA ARIZPE,PO Box 143143,,AUSTIN,TX,78714-3143,5/31/2020,5/26/2000,5123393707,NS,53,
THE WALLACE GROUP INC,P.O. Box 22007,,Waco,TX,76702,5/31/2020,5/26/2000,254 772 9272,NS,54,
W A NEEL COMPANY INC,PO BOX 340,,Scottsville,TX,75688,5/31/2020,5/26/2000,903-938-5272,NS,56,Domain not found. Load the address
Waid Corporation DBA Waid Environmental,"13785 Research Blvd., Suite 100",,Austin,TX,78750,5/31/2020,5/26/2000,5122559999,NS,58,
WALDEMAR S. NELSON & COMPANY INC.,1200 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130-4334,5/31/2020,5/26/2000,504-523-5281,NS,59,
"Walker/Diloreto/Younie Inc DBA WDY, Inc.",6443 SW Beaverton-Hillsdale Hwy Ste 210,,Portland,OR,97221,5/31/2020,5/26/2000,5032038111,NS,60,
WALTER NELSON AND ASSOCIATES,1812 CARLA AVE,,ARLINGTON,TX,76014,5/31/2020,5/26/2000,817 642 9112,SP,62,
WEISHUHN ENGINEERING INC,PO BOX 358,,COLUMBUS,TX,78934,5/31/2020,5/26/2000,979 732 6997,NS,66,
WEISMAN ENGINEERING,3108 WILLOW BEND,,BEDFORD,TX,76021,5/31/2020,5/26/2000,682-738-3382,SP,67,
"Weisser Engineering Company, Inc. DBA Weisser Engineering Company / Weisser Engineering & Surveying",P. O. Box 219315,,Houston,TX,77218,5/31/2020,5/26/2000,2815797300,NS,68,
WHITE ENGINEERING ASSOCIATES INC,5104 N FRANCIS AVE STE 102,,OKLAHOMA CITY,OK,73118,5/31/2020,5/26/2000,4052088700,NS,75,
WRES Inc,6 Horizon Point,,Frisco,TX,75034-6840,5/31/2020,5/26/2000,214-348-3001,NS,76,
"WDP & Associates Consulting Engineers, Inc",10621 Gateway Blvd Ste 200,,Manassas,VA,20110,5/31/2020,5/26/2000,7032579280,NS,77,
WILLIAMSON PETROLEUM CONSULTANTS INC,6 Desta Drive,Suite 6525,MIDLAND,TX,79705,5/31/2020,5/26/2000,4326856100,NS,81,
"TRC Pipeline Services, LLC",21 Griffin Road North,,Windsor,OK,6095,5/31/2020,5/26/2000,8602986347,NS,82,
"WILLIAM A WALLACE-STRUCTURAL ENGINEERING RESOURCES,PLLC DBA Structural Engineering,PLLC Resources",1980 FLOYD HAMPTON RD,,CROWLEY,TX,76036,5/31/2020,5/26/2000,8172972513,SP,83,
WILLIAM M COBB & ASSOCIATES INC,12770 COIT RD STE 907,,DALLAS,TX,75251,5/31/2020,5/26/2000,9723850354,NS,84,
WILSON ENGINEERING,13617 FITZHUGH RD,,AUSTIN,TX,78736-6401,5/31/2020,5/26/2000,512 785 1699,SP,88,
WINKELMANN & ASSOCIATES INC,6750 HILLCREST PLAZA DR STE.  215,,DALLAS,TX,75230,5/31/2020,5/26/2000,972 490 7090,NS,89,
WINTER ENTERPRISES,254 Luckey Rd,,Lytle,TX,78052,5/31/2020,5/26/2000,2106018540,SP,90,
