,firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes,www,domain
26,KALLURI GROUP INC,1907 BYWATER DR,,HOUSTON,TX,77077,8/31/2020,8/11/2000,7133659288,NS,665,,www.,kalluri.com
27,"Van Norman, LLC",7305-B Bandera Ranch Trail,,Austin,TX,78750,8/31/2020,8/11/2000,512-796-3313,NS,666,,www.,vannormanllc.com
28,AILLET FENNER JOLLY & MCCLELLAND INC,3003 Knight Street Ste 120,,SHREVEPORT,LA,71105,8/31/2020,8/18/2000,318 425 7452,NS,667,,www.,afjmc.com
29,B-R ENGINEERING CONSULTANTS,6923 QUEENSCLUB DR,,HOUSTON,TX,77069,8/31/2020,8/18/2000,2815834077,SP,668,,www.,brplusa.com
30,BARNHART CONSTRUCTORS INC DBA BARNHART ENGINEERING,3710 WATONGA BLVD,,HOUSTON,TX,77092,8/31/2020,8/18/2000,713 681 5006,NS,669,,www.,barnharteng.us
31,BEAUMONT ENGINEERING COMPANY INC,P. O. Box 925,,Garriosn,TX,75946,8/31/2020,8/18/2000,409-833-2407,SP,670,,www.,opencorporates.com
32,Becker Services Inc DBA Becker Engineering,P O Box 5306,,Katy,TX,77491,8/31/2020,8/18/2000,2814971522,SP,672,,www.,beckerengr.net
33,BENTLEY ENGINEERING INC,1855 Emerald Bay,,Rockwall,TX,75087,8/31/2019,8/18/2000,214-957-1406,NS,674,,www.,manta.com
34,BINK'S CONSTRUCTION INC,3055 MEDLIN DRIVE,,ARLINGTON,TX,76015,8/31/2020,8/18/2000,8174677809,NS,676,,www.,binksconstruction.com
35,Bleyl Interests Inc. DBA Bleyl Engineering,100 Nugent Street,,Conroe,TX,77301,8/31/2020,8/18/2000,936-441-7833,NS,678,,www.,bleylengineering.com
36,Boling Engineering Associates,2018 Frances Drive,,Garland,TX,75042,8/31/2020,8/18/2000,9722765073,SP,679,,www.,bolingengineering.com
37,BOWEN ENGINEERING CORPORATION,1528 VASSAR ST,,ORLANDO,FL,32804,8/31/2020,8/18/2000,407 423 7585,NS,680,,www.,bowen-corp.com
38,BROWN CONSULTING ENGINEERS INC,3505 Olsen Blvd,Suite 110,AMARILLO,TX,79109,8/31/2020,8/18/2000,8063540141,NS,683,,www.,bceinc.com
39,BSM ENGINEERS INC,4111 E US HWY 80 STE 405,,MESQUITE,TX,75150,8/31/2020,8/18/2000,972 681 4680,NS,684,,www.,mesquitechamber.com
40,Campbell & Associates Consulting Engineers Inc,901 MAIN ST STE 5020,,DALLAS,TX,75202,8/31/2020,8/18/2000,2145592600,SP,690,,www.,cace-inc.com
41,"CARR ENGINEERING, INC",12500 CASTLEBRIDGE DRIVE,,HOUSTON,TX,77065-4532,8/31/2020,8/18/2000,281 894 8955,NS,691,,www.,linkedin.com
42,CAS ENGINEERING SERVICES INC,520 E. Broadway,,PORTLAND,TX,78374,8/31/2020,8/18/2000,3616435631,SP,692,,www.,casengineers.com
43,"CAWLEY, GILLESPIE & ASSOCIATES, INC.",306 WEST 7TH ST STE 302,,FT. WORTH,TX,76102,8/31/2020,8/18/2000,817 336 2461,NS,693,,www.,cgaus.com
44,CDS ENGINEERING DBA CDS ENGINEERING,6410 TERRELL DRIVE,,PEARLAND,TX,77584,8/31/2020,8/18/2000,713-826-5655,SP,694,,www.,cds-engineering.com
45,CHARLES GOJER ASSOCIATES INC,11615 FOREST CENTRAL DR #303,,DALLAS,TX,75243,8/31/2020,8/18/2000,214 340 1199,NS,697,,www.,cgojer.com
46,CHARLES LEON LOYD PE,2093 CHERRY RD,,CABOT,AR,72023,8/31/2020,8/18/2000,5019418087,SP,698,,www.,porch.com
47,CHARLIE WALLACE PE,PO BOX 1953,,SPRING,TX,77383,8/31/2020,8/18/2000,2813539042,SP,701,,www.,engage.aiche.org
48,CHILDRESS ENGINEERS INC DBA CHILDRESS ENGINEERS,211 N RIDGEWAY DR,,CLEBURNE,TX,76033,8/31/2020,8/18/2000,817 645 1118,NS,702,,www.,childress-engineers.com
49,CHITWOOD ENGINEERS,1807 MEIRWOODS DR,,SPRING,TX,77379,8/31/2020,8/18/2000,832.725.8176,SP,703,,www.,safemarinetransfer.com
50,"CLARK RICHARDSON & BISKUP CONSULTING ENGINEERS INC DBA CRB CONSULTING ENGINEERS, INC",1251 NW Briarcliff Parkway,Suite 500,KANSAS CITY,MO,64116,8/31/2020,8/18/2000,816-880-9800,NS,709,,www.,crbusa.com
51,CLEAR SPAN ENGINEERING INC,26822 Longleaf Valley Drive,,Katy,TX,77494,8/31/2019,8/18/2000,2817528200,NS,711,,www.,clrspn.com
52,COMFORT-AIR ENGINEERING INC,11403 JONES MALTSBERGER RD,,SAN ANTONIO,TX,78216,8/31/2020,8/18/2000,210 494 1691,NS,713,,www.,comfort-air.com
53,DEGOLYER & MACNAUGHTON CORP,5001 SPRING VALLEY RD,STE 800 EAST,DALLAS,TX,75244,8/31/2020,8/18/2000,2143686391,NS,716,,www.,demac.com
54,DFW CONSULTING GROUP INC,1616 Corporate Ct.,Suite 100,Irving,TX,75038,8/31/2020,8/18/2000,972 929 1199,NS,720,,www.,dfwcgi.com
55,"Edminster, Hinshaw, Russ & Associates, Inc. DBA EHRA",10555 Westoffice Drive,,Houston,TX,77042,8/31/2020,8/18/2000,713 784 4500,NS,726,,www.,ehrainc.com
56,"EXCELSIS,  INC.",2825 WILCREST DR STE 100,,HOUSTON,TX,77042,8/31/2020,8/18/2000,713 785 9815,NS,731,,www.,manta.com
57,AADFW INC,1350 Westpark Way,,EULESS,TX,76040,8/31/2020,8/25/2000,817 540 0153,NS,734,,www.,aadfwinc.com
58,Forte and Tablada Inc.,9107 Interline Avenue,,Baton Rouge,LA,70809,8/31/2020,8/25/2000,225 927 9321,NS,736,,www.,forteandtablada.com
59,BROCK & BUSTILLOS INC,417 EXECUTIVE CENTER BLVD,,EL PASO,TX,79902-1003,8/31/2020,8/25/2000,9155424900,NS,737,,www.,brockbustillos.com
60,"Aguirre & Fields, LP","7215 New Territory Blvd., Suite 100",,Sugar Land,TX,77479,8/31/2020,8/25/2000,281-340-8900,NS,739,,www.,aguirre-fields.com
61,FRANKLIN JOHNSTON PE DBA BUILDING DESIGN GROUP,PO BOX 291562,,KERRVILLE,TX,78029-1562,8/31/2020,8/25/2000,830 928 7507,SP,744,,www.,thefranklinjohnstongroup.com
62,GOSS-JOHNSTON BUILDING CONTRACTORS,PO BOX 291562,,KERRVILLE,TX,78029-1562,8/31/2020,8/25/2000,830-928-7507,SP,750,,www.,yelp.com
63,"H & A Engineers, Inc",731 El Barco,,Corsicana,TX,75109,8/31/2020,8/25/2000,817 268 8621,NS,753,,www.,linkedin.com
64,HDR ENGINEERING INC,1917 S. 67th Street,,Omaha,NE,68106,8/31/2020,8/25/2000,4023991000,NS,754,,www.,twitter.com
65,"Hejl, Lee & Associates, Inc.",208 Taylor St.,,Hutto,TX,78634,8/31/2020,8/25/2000,512 642 3292,NS,755,,www.,hejllee.com
66,HELMBERGER ASSOCIATES INC,1525 BOZMAN ROAD,,WYLIE,TX,75098,8/31/2020,8/25/2000,972 442 7459,NS,756,,www.,manta.com
67,"Michael F. Lucci, PE, PLLC",24165 W Interstate 10,Ste 217-409,San Antonio,TX,78257,8/31/2020,8/25/2000,210 213 3462,SP,757,,www.,cceo.org
68,XR Structural,6448 Highway 290 E.,Suite A-107,Austin,TX,78723,8/31/2020,8/25/2000,512 371 1022,NS,758,,www.,xrstructural.com
69,HUGO REED & ASSOCIATES INC,1601 AVENUE N,,LUBBOCK,TX,79401,8/31/2020,8/25/2000,806 763 5642,NS,760,,www.,hugoreed.com
70,HUITT-ZOLLARS INC,1717 MCKINNEY AVE STE 1400,,DALLAS,TX,75202,8/31/2020,8/25/2000,214 871 3311,NS,761,,www.,huitt-zollars.com
71,INNOVATIVE CONTROL SOLUTIONS INC,1500 Precision Dr Ste 150,,PLANO,TX,75074-8664,8/31/2020,8/25/2000,9725092979,NS,762,,www.,icstexas.com
72,JAY FISCHMAN PE,3723 BROOKVALE CT,,KINGWOOD,TX,77345-1229,8/31/2020,8/25/2000,281 360 8962,SP,767,,www.,jfinspections.com
73,"Kohutek Engineering and Testing, Inc.",3200 East University Avenue,,Georgetown,TX,78626,8/31/2019,8/25/2000,512 930 5832,NS,778,,www.,facebook.com
74,LANDMARK STRUCTURES I LP,301 S County Farm Rd,,Wheaton,TX,60187-4523,8/31/2020,8/25/2000,630-909-4003,NS,779,,www.,teamlandmark.com
75,Lina T Ramey & Associates Inc,3320 Belt Line Road,,Farmers Branch,TX,75234,8/31/2020,8/25/2000,2149791144,NS,782,,www.,ltraengineers.net
76,"Macina, Bose, Copeland and Associates, Inc. DBA MBC Engineers",1035 Central Pkwy N.,,San Antonio,TX,78232,8/31/2020,8/25/2000,210 545 1122,NS,784,,www.,mbcengineers.com
77,"Malone/Wheeler, Inc.",5113 Southwest Pkwy #260,,Austin,TX,78735,8/31/2020,8/25/2000,512 899 0601,NS,786,,www.,malonewheeler.com
78,"MBCM MANAGEMENT, INC. DBA MBC MANAGEMENT",P O Box 648,,Navasota,TX,77868,8/31/2020,8/25/2000,936 825 1603,NS,789,,www.,mbcmusa.com
79,David L Wood PE,6748 Starnes Road,,North Richland Hills,TX,76182,8/31/2020,8/25/2000,817 680 9419,SP,791,,www.,facebook.com
80,MILLENNIUM SOLUTIONS,PO BOX 6683,,KINGWOOD,TX,77325-6683,8/31/2020,8/25/2000,281-359-5171,SP,793,,www.,indeed.com
81,PARKER ENGINEERING LLC,1601 WOODROCK,,ROUND ROCK,TX,78681,8/31/2019,8/25/2000,5122552589,NS,799,,www.,repair-expert.com
82,A&S Engineers Inc,10377 Stella Link Rd,,Houston,TX,77025-5445,9/30/2019,9/1/2000,713-942-2700,NS,802,,www.,as-engineers.com
83,ADVANCED ENGINEERING RESOURCES INC,PO BOX 1277,,MADISON,MS,39130-1277,9/30/2020,9/1/2000,6014275003,NS,805,,www.,a-e-r.com
84,ADVANCED REAL ESTATE ACTIVITIES INC,P O BOX 1232,,HOUSTON,TX,77251-1232,9/30/2019,9/1/2000,713-705-9212,NS,806,,www.,dandb.com
85,"AGRI-WASTE TECHNOLOGY, INC.",501 N. Salem Street,Suite 203,Apex,NC,27502,9/30/2020,9/1/2000,919 859 0669,NS,808,,www.,agriwaste.com
86,AIR & WASTE ENGINEERING INC.,PO BOX 16211,,SUGAR LAND,TX,77496,9/30/2020,9/1/2000,281 455 6569,SP,810,,www.,airandwasteengineering.com
87,ALLIANCE-TEXAS ENGINEERING COMPANY DBA ALLIANCE TRANSPORTATION GROUP INC,"11500 Metric Blvd., Bldg. M-1, Ste. 150",,AUSTIN,TX,78758,9/30/2019,9/1/2000,5128212081,NS,812,,www.,alliance-transportation.com
88,ALPHA TESTING INC,2209 WISCONSIN STREET,ATTN:  ROSIE HARDING,DALLAS,TX,75229,9/30/2020,9/1/2000,9726208911,NS,813,,www.,linkedin.com
89,AMERICAN REALTY SERVICES,712 CONGRESS AVE STE 200,,AUSTIN,TX,78701,9/30/2019,9/1/2000,5124771312,SP,815,,www.,americanrealty.com
90,"Anderson & Associates, Inc.",919 FM 1959,,HOUSTON,TX,77034,9/30/2020,9/1/2000,2814815840,NS,816,,www.,metaltest.com
91,APEX ENGINEERS & CONSULTANTS INC,2501 S. Padre Island Drive,,CORPUS CHRISTI,TX,78415,9/30/2020,9/1/2000,361 985 8057,NS,817,,www.,manta.com
92,ARS ENGINEERS INC,12801 N CENTRAL EXPWY STE 1250,,DALLAS,TX,75243,9/30/2020,9/1/2000,2147393152,NS,819,,www.,arsengineers.com
93,ARW ENGINEERS,1594 WEST PARK CIRCLE,,OGDEN,UT,84404,9/30/2019,9/1/2000,801-782-6008,NS,820,,www.,arwengineers.com
94,AURA ENGINEERING LLC,4801 West Orange Street,,Pearland,TX,77581,9/30/2019,9/1/2000,281-485-1105,NS,823,,www.,aura-engineering.com
95,B&B ENGINEERING,400 HIDDEN BEAR RD,,LIBERTY HILL,TX,78642,9/30/2019,9/1/2000,512-778-5914,SP,824,,www.,porch.com
96,BAKER & LAWSON INC,300 E. Cedar,,Angleton,TX,77515,9/30/2019,9/1/2000,9798496681,NS,825,,www.,bakerlawson.com
97,BAKER & O'BRIEN INC,12001 N. Central Expressway,Suite 1200,Dallas,TX,75243,9/30/2019,9/1/2000,214 368 7626,NS,826,,www.,bakerobrien.com
98,Bass Corrosion Services Inc DBA Bass Engineering Company,PO Box 5609,,Longview,TX,75608,9/30/2019,9/1/2000,903 759 1633,NS,828,,www.,bass-eng.com
99,"Bath Group, Inc. DBA Bath Engineering Corporation/Bath Commissioning Corporation",4110 Rio Bravo Ste 102,,El Paso,TX,79902,9/30/2019,9/1/2000,915-313-7200,NS,829,,www.,bbb.org
100,BGA ENGINEERS INC,4888 LANGFIELD RD STE 200,,HOUSTON,TX,77040,9/30/2020,9/1/2000,7133299922,NS,833,,www.,linkedin.com
101,BIGGS & MATHEWS INC,2500 BROOK AVE.,,WICHITA FALLS,TX,76301,9/30/2019,9/1/2000,940 766 0156,NS,834,,www.,biggsandmathews.com
102,BRASWELL ENGINEERING & MANUFACTURING LLC,454 Rains County Rd 3501,,Emory,TX,75440,9/30/2019,9/1/2000,817-223-6745,SP,838,,www.,bizstanding.com
103,Brazos Environmental & Engineering Services Inc,4923 Franklin,,Waco,TX,76710,9/30/2020,9/1/2000,2547767663,NS,839,,www.,web.wacochamber.com
104,BROCKETTE-DAVIS-DRAKE INC DBA BROCKETTE-DAVIS-DRAKE INC,4144 N CENTRAL EXPWY ,Suite 1100,DALLAS,TX,75204,9/30/2020,9/1/2000,214-824-3647,NS,841,,www.,linkedin.com
105,BROUWER CONSULTING SERVICE,241 Tripp Road,,Mesquite,TX,75150-5808,9/30/2019,9/1/2000,214-674-4104,SP,842,,www.,upcity.com
106,Bryant Consultants Inc,3360 Wiley Post Road ,Suite 100,Carrollton,TX,75006,9/30/2019,9/1/2000,972-713-9109,NS,844,,www.,geoneering.com
107,BURNS & MCDONNELL ENGINEERING CO INC,9400 Ward Parkway,,KANSAS CITY,MO,64114,9/30/2019,9/1/2000,8163339400,NS,845,,www.,burnsmcd.com
108,C RICK CONEWAY PE,6402 Weatherwood COVE,,AUSTIN,TX,78746,9/30/2020,9/1/2000,512-329-9025,SP,847,,www.,linkedin.com
109,C F MCDONALD ELECTRIC INC,ATTN  DIANE DOLLAR,5044 TIMBER CREEK,HOUSTON,TX,77017,9/30/2020,9/1/2000,7139211368,NS,848,,www.,mcdonaldinc.com
110,CADCO ARCHITECTS-ENGINEERS INC,2401 S WILLIS STE 200,,ABILENE,TX,79605,9/30/2019,9/1/2000,3256956281,NS,849,,www.,cadcoae.com
111,"Chas N Clark Associates, Ltd. DBA Clark Engineers",714 Hillcrest Drive,,Laurel,MS,39440,9/30/2020,9/1/2000,601-649-5900,NS,852,,www.,clarkengineers.com
112,Chavez-Grieves Consulting Engineers Inc,4700 Lincoln Rd NE #102,,Albuquerque,NM,87109,9/30/2019,9/1/2000,505 344 4080,NS,853,,www.,cg-engrs.com
113,"Consort Environments, Inc.","3600 Bee Caves Rd., Ste. 100",,West Lake Hills,TX,78746,9/30/2020,9/1/2000,5124690500,NS,859,,www.,consortinc.com
114,CHS ENGINEERING,7846 WOOD OAK COVE,,CORDOVA,TN,38016,9/30/2020,9/1/2000,901-830-5300,SP,860,,www.,members.memphischamber.com
115,Cost Containment Engineering Inc,9222 Linbrooke,,San Antonio,TX,78250,9/30/2020,9/1/2000,210-722-7278,NS,864,,www.,costcontainmentengr.com
116,D&E STRUCTURES CONSULTING ENGINEERS LLP,1010 E ARAPAHO RD,STE 106,RICHARDSON,TX,75081,9/30/2019,9/1/2000,214-741-3095,NS,870,,www.,de-structures.com
117,"D'Appolonia Engineering Division of Ground Technology, Inc.",701 Rodi Road,Floor 2,Pittsburgh,PA,15235-4559,9/30/2019,9/1/2000,4128569440,NS,871,,www.,dappolonia.com
118,STAN BELL ENGINEERING,PO BOX 1,,WILMER,TX,75172,9/30/2020,9/1/2000,9724413714,SP,878,,www.,thebluebook.com
119,BROOKS & SPARKS INC,21020 PARK ROW DR,,KATY,TX,77449,9/30/2020,9/8/2000,281 578 9595,NS,880,,www.,brooksandsparks.com
120,"Carollo Engineers, Inc.","3150 Bristol St., Ste. 500",Attn: RMS,Costa Mesa,CA,92626,9/30/2019,9/8/2000,714-593-5115,NS,882,,www.,carollo.com
121,COOK-JOYCE INC,Attn:  Stacey Granger,"812 W 11th St., Suite 205",Austin,TX,78701,9/30/2019,9/8/2000,512-474-9097,NS,883,,www.,cook-joyce.com
122,"Dorado Engineering Group, Inc.",2717 E. Yandell Dr.,,El Paso,TX,79903,9/30/2019,9/8/2000,915 562 0002,NS,884,,www.,buildzoom.com
123,"Dougherty Sprague Enterprises, Inc DBA DSE",P.O. Box 584,,Rowlett,TX,75030-0584,9/30/2019,9/8/2000,972 412 8666,NS,885,,www.,dsei.com
124,DOUPHRATE & ASSOCIATES INC,2235 RIDGE RD #200,,ROCKWALL,TX,75087,9/30/2020,9/8/2000,9727719004,NS,886,,www.,douphrate.com
125,James R. Vance & Associates DBA Electrologic,13806 St. Mary's Ln.,,Houston,TX,77079,9/30/2019,9/8/2000,281-558-0001,SP,888,,www.,yelp.com
126,"ENGINEERED AIR BALANCE CO., INC.",PO Box 850596,,Richardson,TX,75085-0596,9/30/2020,9/8/2000,972 818 9000,NS,890,,www.,eabcoinc.com
127,ENGINEERING CONSULTANTS INC,401 W CAPITOL AVE STE 305,,LITTLE ROCK,AR,72201,9/30/2020,9/8/2000,5013763752,NS,891,,www.,ecilr.com
128,ENGINEERING CONSULTING SERVICES LTD DBA ECS,14026 THUNDERBOLT PL STE 300,,CHANTILLY,TX,20151,9/30/2019,9/8/2000,571-299-6019,NS,892,,www.,ecslimited.com
129,"Estes, McClure & Associates, Inc. DBA EMA Engineering & Consulting",328 S Broadway,,Tyler,TX,75702,9/30/2019,9/8/2000,903 581 2677,NS,893,,www.,emaengineer.com
130,EVANS ENGINEERING INC,2793 OLD POST RD,,HARRISBURG,PA,17110,9/30/2020,9/8/2000,7175411580,NS,894,,www.,evanseng.com
131,FERNANDEZ FRAZER WHITE & ASSOCIATES INC,"8918 Tesoro, Ste 403",,SAN ANTONIO,TX,78217,9/30/2019,9/8/2000,210-377-0774,NS,896,,www.,ffwinc.com
132,"Ferris, Flinn & Medina, LLC",1405 N Stuart Place Road,,Harlingen,TX,78552,9/30/2019,9/8/2000,956 364 2236,NS,897,,www.,ferrisandflinn.com
133,GAMBLE ENGINEERING & ASSOCIATES INC,P.O. Box 459,,Chappell Hill,TX,77426-0459,9/30/2020,9/8/2000,713-562-0310,SP,900,,www.,texaskit.com
134,GEORGE A ALTHER PE,3516 GULF AVE,,MIDLAND,TX,79707,9/30/2019,9/8/2000,432 694 7565,SP,901,,www.,mylife.com
135,HOWARD W GRAY JR DBA GRAY ENGINEERING SERVICES,1905 Hampshire Drive,,GRAND PRAIRIE,TX,75050,9/30/2019,9/8/2000,9726602900,SP,904,,www.,buzzfile.com
136,GRW Engineers Inc,801 Corporate Dr.,,Lexington,KY,40503,9/30/2020,9/8/2000,859-223-3999,NS,905,,www.,grwinc.com
137,HINOJOSA ENGINEERING INC,108 W 18TH ST,,MISSION,TX,78572,9/30/2019,9/8/2000,9565810143,NS,908,,www.,hengineering.com
138,"HORIZON STRUCTURAL SYSTEMS, INC.",3950 HWY 46 W STE 200,,NEW BRAUNFELS,TX,78132,9/30/2020,9/8/2000,830 629 8000,NS,911,,www.,horizonstructural.com
139,James T Rodriguez Consulting Engineers Inc,412 W Rhapsody Dr,,San Antonio,TX,78216-3110,9/30/2019,9/8/2000,210 496 0960,NS,917,,www.,linkedin.com
140,JOHN M COTTERELL PE INC,4525 MCCRARY RD,,RICHMOND,TX,77406,9/30/2019,9/8/2000,281-496-6666,SP,922,,www.,manta.com
141,"Kennedy Consulting, Inc.",205 E University Ave,Suite 450,Georgetown,TX,78626,9/30/2019,9/8/2000,512 864 2833,NS,926,,www.,dnb.com
142,KIMLEY-HORN & ASSOCIATES INC,421 FAYETTEVILLE STREET,SUITE 600,RALEIGH,NC,27601,9/30/2019,9/8/2000,919 677 2000,NS,928,,www.,kimley-horn.com
143,"RPS Infrastructure, Inc. DBA RPS","20405 Tomball Parkway, Ste. 200",,HOUSTON,TX,77070,9/30/2020,9/8/2000,281-448-6188,NS,929,,www.,rpsins.com
144,"Lea + Elliott, Inc DBA Lea + Elliott, Inc","2505 N State Hwy 360, #750",,Grand Prairie,TX,75050,9/30/2019,9/8/2000,972 890 9800,NS,936,,www.,leaelliott.com
145,LG Environmental Engineering,1025 Woodbury Falls Drive,,Nashville,FL,37221,9/30/2019,9/8/2000,4074163430,SP,937,,www.,facebook.com
146,"Lucien T. Vivien, Jr. & Associates, Inc.",P O Box 9460,,Metairie,LA,70055-9460,9/30/2020,9/8/2000,504 218 5409,NS,938,,www.,vivienengineers.com
147,MARTIN SACHNIK PE,2405 Copper Sky Dr.,,Pearland,TX,77584,9/30/2020,9/8/2000,281-809-5805,SP,940,,www.,address.mylife.com
148,MARVIN E BEASLEY PE DBA JDS CONSULTING,5206 BRAESVALLEY DR,,HOUSTON,TX,77096-2545,9/30/2019,9/8/2000,713 662 3083,SP,941,,www.,bels.alabama.gov
149,MAXWELL ENGINEERING PLLC,911 PANORAMA DR,,KERRVILLE,TX,78028,9/30/2020,9/8/2000,8308950032,SP,943,,www.,linkedin.com
150,MCCLESKEY CONSULTING INC,26500 AGOURA RD - PMB 564,,CALABASAS,CA,91302,9/30/2019,9/8/2000,818-880-6253,SP,944,,www.,manta.com
151,"Nelson Architectural Engineers, Inc. DBA Nelson Forensics","2740 Dallas Parkway, Suite 220",,Plano,TX,75093,9/30/2020,9/8/2000,469-429-9000,NS,950,,www.,nelsonforensics.com
152,NICHOLAS CONSULTING GROUP INC,600 N MARIENFELD STE 390,,MIDLAND,TX,79701,9/30/2020,9/8/2000,4325708093,NS,951,,www.,thencg.com
153,NTB ASSOCIATES INC,525 Louisiana Ave.,,Shreveport,LA,71101,9/30/2020,9/8/2000,3182269199,NS,955,,www.,ntbainc.com
154,OWENS FORENSIC ENGINEERING INC,10215 BRIAR DR,,HOUSTON,TX,77042,9/30/2020,9/8/2000,713 829 1113,SP,956,,www.,owensforensic.com
155,Page Southerland Page LLP DBA PageSoutherlandPage,Attn:  Mechelle Strange,"1800 Main Street, Suite 123",Dallas,TX,75201,9/30/2020,9/8/2000,214-522-3900,NS,958,,www.,pagethink.com
156,"PaveTex Engineering, LLC","1500 Broadway, Suite 1117",,Lubbock,TX,79401,9/30/2019,9/8/2000,8068538693,NS,961,,www.,pavetex.com
157,"Stokes & Associates, Inc.",P. O. Box 1114,,Henderson,TX,75653-1114,9/30/2019,9/8/2000,903 657 7558,NS,967,,www.,stokesandassociates.com
158,TDIndustries Inc,13850 Diplomat Drive,,Dallas,TX,75234,9/30/2020,9/8/2000,9728889500,NS,968,,www.,tdindustries.com
