,firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes,www,domain
23,AVILES ENGINEERING CORPORATION,5790 WINDFERN RD,,HOUSTON,TX,77041,5/31/2020,5/26/2000,713 895 7645,NS,42,,www.,avilesengineering.com
24,Axiom Engineers Inc.,P.O. Box 277,,Columbus,TX,78934,5/31/2020,5/26/2000,512-784-5892,NS,43,,www.,axiomtexas.com
25,"BAIRD HAMPTON & BROWN, INC.",6300 RIDGLEA PLACE STE 700,,FT. WORTH,TX,76116,5/31/2020,5/26/2000,817 338 1277,NS,44,,www.,bhbinc.com
26,BARNEY BALLARD CORPORATION,PO BOX 545,,BURLESON,TX,76097,5/31/2020,5/26/2000,817 295 4891,SP,48,,www.,barneyballardengineering.com
27,BARRY ENGINEERING INC,21834 NORTHWEST FRWY,,HOUSTON,TX,77429,5/31/2020,5/26/2000,281-664-1600,NS,51,,www.,barryengineering.com
28,BASS & WELSH ENGINEERING,PO BOX 6397,,CORPUS CHRISTI,TX,78466-6397,5/31/2020,5/26/2000,3618825521,NS,52,,www.,bass-welsh.com
29,THE ARIZPE GROUP INC DBA ARIZPE,PO Box 143143,,AUSTIN,TX,78714-3143,5/31/2020,5/26/2000,5123393707,NS,53,,www.,arizpe.com
30,THE WALLACE GROUP INC,P.O. Box 22007,,Waco,TX,76702,5/31/2020,5/26/2000,254 772 9272,NS,54,,www.,manta.com
31,W A NEEL COMPANY INC,PO BOX 340,,Scottsville,TX,75688,5/31/2020,5/26/2000,903-938-5272,NS,56,Domain not found. Load the address,www.,manta.com
32,Waid Corporation DBA Waid Environmental,"13785 Research Blvd., Suite 100",,Austin,TX,78750,5/31/2020,5/26/2000,5122559999,NS,58,,www.,waid.com
33,WALDEMAR S. NELSON & COMPANY INC.,1200 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130-4334,5/31/2020,5/26/2000,504-523-5281,NS,59,,www.,wsnelson.com
34,"Walker/Diloreto/Younie Inc DBA WDY, Inc.",6443 SW Beaverton-Hillsdale Hwy Ste 210,,Portland,OR,97221,5/31/2020,5/26/2000,5032038111,NS,60,,www.,bbb.org
35,WALTER NELSON AND ASSOCIATES,1812 CARLA AVE,,ARLINGTON,TX,76014,5/31/2020,5/26/2000,817 642 9112,SP,62,,www.,manta.com
36,WEISHUHN ENGINEERING INC,PO BOX 358,,COLUMBUS,TX,78934,5/31/2020,5/26/2000,979 732 6997,NS,66,,www.,wei-eng.com
37,WEISMAN ENGINEERING,3108 WILLOW BEND,,BEDFORD,TX,76021,5/31/2020,5/26/2000,682-738-3382,SP,67,,www.,manta.com
38,"Weisser Engineering Company, Inc. DBA Weisser Engineering Company / Weisser Engineering & Surveying",P. O. Box 219315,,Houston,TX,77218,5/31/2020,5/26/2000,2815797300,NS,68,,www.,linkedin.com
39,WHITE ENGINEERING ASSOCIATES INC,5104 N FRANCIS AVE STE 102,,OKLAHOMA CITY,OK,73118,5/31/2020,5/26/2000,4052088700,NS,75,,www.,weainc.com
40,WRES Inc,6 Horizon Point,,Frisco,TX,75034-6840,5/31/2020,5/26/2000,214-348-3001,NS,76,,www.,mapquest.com
41,"WDP & Associates Consulting Engineers, Inc",10621 Gateway Blvd Ste 200,,Manassas,VA,20110,5/31/2020,5/26/2000,7032579280,NS,77,,www.,wdpa.com
42,WILLIAMSON PETROLEUM CONSULTANTS INC,6 Desta Drive,Suite 6525,MIDLAND,TX,79705,5/31/2020,5/26/2000,4326856100,NS,81,,www.,wpc-inc.com
43,"TRC Pipeline Services, LLC",21 Griffin Road North,,Windsor,OK,6095,5/31/2020,5/26/2000,8602986347,NS,82,,www.,trccompanies.com
44,"WILLIAM A WALLACE-STRUCTURAL ENGINEERING RESOURCES,PLLC DBA Structural Engineering,PLLC Resources",1980 FLOYD HAMPTON RD,,CROWLEY,TX,76036,5/31/2020,5/26/2000,8172972513,SP,83,,www.,wallacestructural.com
45,WILLIAM M COBB & ASSOCIATES INC,12770 COIT RD STE 907,,DALLAS,TX,75251,5/31/2020,5/26/2000,9723850354,NS,84,,www.,wmcobb.com
46,WILSON ENGINEERING,13617 FITZHUGH RD,,AUSTIN,TX,78736-6401,5/31/2020,5/26/2000,512 785 1699,SP,88,,www.,wilsonengr.com
47,WINKELMANN & ASSOCIATES INC,6750 HILLCREST PLAZA DR STE.  215,,DALLAS,TX,75230,5/31/2020,5/26/2000,972 490 7090,NS,89,,www.,winkelmann.com
48,WINTER ENTERPRISES,254 Luckey Rd,,Lytle,TX,78052,5/31/2020,5/26/2000,2106018540,SP,90,,www.,bbb.org
49,WISS JANNEY ELSTNER ASSOCIATES INC,330 PFINGSTEN RD,,NORTHBROOK,IL,60062,5/31/2020,5/26/2000,847 272 7400,NS,93,,www.,wje.com
50,WLM Engineering Co,2024 Dawn Crest Court,,League City,TX,77573,5/31/2020,5/26/2000,281-728-3722,SP,94,Domain not found. Load the address,www.,manta.com
51,WYCOFF ENGINEERING INC,1938 CR 237,,GANADO,TX,77962,5/31/2020,5/26/2000,3617713111,NS,98,Domain not found. Load the address,www.,manta.com
52,YVONNE NEWMAN ENGINEERING INC,"613 Shelley Park Plaza, Ste. 200",,Tyler,TX,75701,5/31/2020,5/26/2000,9035818551,NS,101,,www.,yneinc.com
53,Zephyr Environmental Corporation,2600 Via Fortuna Ste 450,,Austin,TX,78746,5/31/2020,5/26/2000,512 329 5544,NS,102,,www.,powereng.com
54,"T-Square Design Associates, Inc.",22 Circle Rd.,,Longview,TX,75602,6/30/2020,6/2/2000,903 758 6898,NS,105,,www.,t2dainc.com
55,"Hickman McClaine & Associates, Inc.",505 N Big Spring Ste 105,,Midland,TX,79701,6/30/2020,6/2/2000,432 683 4391,NS,106,,www.,hickmanmcclaine.com
56,TATUM-SMITH ENGINEERS INC,PO BOX 756,,ROGERS,AR,72757-0756,6/30/2020,6/2/2000,4796216128,NS,108,,www.,tswstructural.com
57,The WCM Group Inc,P O Box 3247,,Humble,TX,77347-3247,6/30/2020,6/2/2000,2814467070,NS,109,,www.,wcmgroup.com
58,THOMAS E RACK LP,5806 DOLORES ST UNIT D,,HOUSTON,TX,77057,6/30/2020,6/2/2000,713 816 7226,NS,112,Domain not found. Load the address,www.,buildzoom.com
59,THOMPSON & ASSOCIATES INC,PO BOX 132479,,TYLER,TX,75713-2479,6/30/2020,6/2/2000,903 593 0128,NS,115,,www.,tylertexas.com
60,"Ramirez & Long Forensics, Inc.",1904 S. Bagdad Rd.,Ste. 1,Leander,TX,78641,6/30/2020,6/2/2000,512-259-1120,NS,117,,www.,rlforensics.com
61,TOLSON ENGINEERING SERVICES,PO BOX 852245,,RICHARDSON,TX,75085,6/30/2020,6/2/2000,972 783 9211,SP,123,,www.,tolsonengineering.com
62,"Tolunay-Wong Engineers, Inc.",10710 S. Sam Houston Pkwy W.,Ste. 100,Houston,TX,77031,6/30/2020,6/2/2000,713-722-7064,NS,124,,www.,tweinc.com
63,TRAVIS ASSOCIATES CONSULTING ENGINEERS INC,1390 HILLSIDE TERR,,BUDA,TX,78610,6/30/2020,6/2/2000,512 295 3465,NS,127,Domain not found. Load the address,www.,civil-engineers.cmac.ws
64,Tricia Altamirano Consulting Engineer Inc,1101 S Capital of TX Hwy Ste D-210,,Austin,TX,78746,6/30/2020,6/2/2000,512 328 2203,SP,129,Domain not found. Load the address,www.,porch.com
65,TRIHYDRO CORPORATION,1252 COMMERCE DRIVE,,LARAMIE,WY,82070,6/30/2020,6/2/2000,3077457474,NS,131,,www.,trihydro.com
66,TROTT COMMUNICATIONS GROUP INC,1303 W. Walnut Hill Lane,Suite 300,Irving,TX,75038,6/30/2020,6/2/2000,972-518-1811,NS,134,,www.,trottgroup.com
67,ULRICH ENGINEERS INC,2901 WILCREST DR STE 200,,HOUSTON,TX,77042,6/30/2020,6/2/2000,7137807645,NS,139,,www.,ulrichengineers.com
68,UNIFIED BUILDING SCIENCES & ENGINEERING INC,405 INTERNATIONAL PKY #209,,RICHARDSON,TX,75081,6/30/2020,6/2/2000,972 783 8683,NS,140,,www.,unifiedgroup.com
69,Gordon Ivan Townsend,1109 South 13th Street,,Copperas Cove,TX,76522-3542,6/30/2020,6/2/2000,512-937-6653,SP,141,,www.,facebook.com
70,UNITED ENGINEERS INC,9301 SOUTHWEST FWY STE 500,,HOUSTON,TX,77074,6/30/2020,6/2/2000,7132712900,NS,142,,www.,unitede.com
71,UNITED STRUCTURES OF AMERICA INC,1912 Buschong,,HOUSTON,TX,77039,6/30/2020,6/2/2000,2814428247,NS,143,,www.,linkedin.com
72,Urban Engineering,2725 Swantner Lane,,Corpus Christi,TX,78404,6/30/2020,6/2/2000,3618543101,NS,145,,www.,urbaneng.com
73,Van De Wiele & Vogler Inc,2925 Briarpark Suite 275,,Houston,TX,77042-3720,6/30/2020,6/2/2000,7137820042,NS,148,,www.,vandewiele-eng.com
74,VELVIN & WEEKS CONSULTING ENGINEERS INC,PO BOX 1007,,ATHENS,TX,75751,6/30/2020,6/2/2000,903 675 3903,NS,151,,www.,velvin-weeks.com
75,Verde Engineering Inc,1104 Pine Forest Cove,,Round Rock,TX,78665,6/30/2020,6/2/2000,5122189833,SP,152,,www.,manta.com
76,VERITE' FORENSIC ENGINEERING LLC,10070 AIRPORT RD,,CONROE,TX,77303,6/30/2020,6/2/2000,936-756-2201,NS,154,,www.,veriteforensicengineering.com
77,Vibra-Tech Engineers Inc.,P.O. Box 577,,Hazleton,PA,18201,6/30/2020,6/2/2000,570-455-5861,NS,157,,www.,geosonicsvibratech.com
78,VICKREY & ASSOCIATES INC,12940 COUNTRY PKWY,,SAN ANTONIO,TX,78216,6/30/2020,6/2/2000,210-349-3271,NS,159,,www.,vickreyinc.com
79,VICTORIA ENGINEERING INC DBA URBAN ENGINEERING,2004 N COMMERCE ST,,VICTORIA,TX,77901,6/30/2020,6/2/2000,361-578-9836,NS,160,,www.,urbanvictoria.com
80,Graylaur Corporation DBA VEI Consulting Engineers,"507 E. Hwy St., Suite D",,Fredericksburg,TX,78624,6/30/2020,6/2/2000,830 997 4744,NS,165,,www.,vei-tx.com
81,VOSS ENGINEERING INC,6838 GREENWOOD DR,,CORPUS CHRISTI,TX,78415,6/30/2020,6/2/2000,3618546202,NS,166,,www.,vossengineeringinc.com
82,4th Dimension Design Inc,817 Venture Court,,Waukesha,WI,53189,6/30/2020,6/9/2000,262 896 6500,NS,168,,www.,4dd.com
83,CHANG ENGINEERING COMPANY,2820 S PADRE ISLAND DR STE 183,,CORPUS CHRISTI,TX,78415,6/30/2020,6/9/2000,3618578779,NS,169,,www.,porch.com
84,CJG Engineering Group Inc,3200 Wilcrest Dr. Ste 305,,Houston,TX,77042,6/30/2020,6/9/2000,713 780 3345,NS,170,,www.,cjgengineers.com
85,S & W Foundation Contractors Inc,2806 Singelton,,Rowlett,TX,75088,6/30/2020,6/9/2000,2147030484,NS,172,,www.,swfoundation.com
86,"S. W. Howell, Inc.",P.O. Box 22,,Odessa,TX,79762,6/30/2020,6/9/2000,432-367-5711,NS,173,,www.,swhowell.com
87,STANLEY CONSULTANTS INC,251 LITTLE FALLS DRIVE,,WILMINGTON,IA,19808,6/30/2020,6/9/2000,5632646747,NS,174,,www.,stanleyconsultants.com
88,"Stanley Spurling & Hamilton, Inc.","3301 Edloe St., Ste. 200",,Houston,TX,77027,6/30/2020,6/9/2000,7137769433,NS,175,,www.,sshinc.net
89,STANLEY MORRIS ENGINEERING,907 E BROADWAY,,SWEETWATER,TX,79556,6/30/2020,6/9/2000,3252358616,NS,177,,www.,morrisengr.com
90,Steger & Bizzell Engineering Inc DBA Steger Bizzell,1978 S Austin Avenue,,Georgetown,TX,78626,6/30/2020,6/9/2000,5129309412,NS,181,,www.,stegerbizzell.com
91,STEPHEN A SHERRILL INC,1922 Purple Sage,,Kingsland,TX,78639,6/30/2020,6/9/2000,512 656 3766,SP,183,,www.,manta.com
92,STEPHEN G COOK ENGINEERING INC,12000 STARCREST #107,,SAN ANTONIO,TX,78247,6/30/2020,6/9/2000,2104812533,NS,184,,www.,sgce.net
93,"Persyn Engineering, Inc. DBA Persyn Engineering",4734 College Park,,San Antonio,TX,78249,6/30/2020,6/9/2000,210 680 4126,NS,188,,www.,porch.com
94,STIVER ENGINEERING INC,1305 Peden St.,,Houston,TX,77006-1123,6/30/2020,6/9/2000,7135263478,NS,190,,www.,stiverengineering.com
95,Stone Structural Engineering DBA Charles T Stone,P O Box 1567,,Beeville,TX,78104,6/30/2020,6/9/2000,512-633-4527,SP,192,,www.,amazon.com
96,STR ENGINEERING INC,18026 MOUNTFIELD DR,,HOUSTON,TX,77084,6/30/2020,6/9/2000,2815505252,SP,193,,www.,angieslist.com
97,"STRESS ENGINEERING SERVICES, INC",13800 WESTFAIR EAST DR,,HOUSTON,TX,77041,6/30/2020,6/9/2000,281-955-2900,NS,195,,www.,stress.com
98,STRUCTUNEERING INC,7322 SOUTHWEST FWY #735,,HOUSTON,TX,77074,6/30/2020,6/9/2000,713-779-1701,NS,196,,www.,structuneering.com
99,SCA Consulting Engineers Division Structural Consultant Associates Inc,12511 Emily Ct,,Houston,TX,77478,6/30/2020,6/9/2000,7137797252,NS,197,,www.,scaengineers.com
100,STRUCTURAL ENGINEERING ASSOCIATES INC,3838 NW LOOP 410,,SAN ANTONIO,TX,78229,6/30/2020,6/9/2000,210 735 9202,NS,199,,www.,seatx.com
101,Structural Engineering Services,122 Oak Leaf Dr,,La Vernia,TX,78121,6/30/2020,6/9/2000,830 779 2018,SP,200,,www.,homeadvisor.com
102,STRUCTURAL ENGINEERS PC,114 Nicholas Drive,,MARSHALLTOWN,IA,50158,6/30/2020,6/9/2000,6417526334,NS,201,,www.,sepc.biz
103,STRUCTURAL SERVICES INC,"115 Park Place Blvd., Suite 300",,Waxahachie,TX,75165,6/30/2020,6/9/2000,2145226438,NS,202,,www.,ssiteam.com
104,STRUCTURAL SOLUTIONS INC,6410 SOUTHWEST BLVD #210,,FT. WORTH,TX,76109-3920,6/30/2020,6/9/2000,8175690070,NS,203,,www.,structuralsolutionsinc.com
105,STV Incorporated,225 Park Ave South,,New York,TX,10003,6/30/2020,6/9/2000,5128727822,NS,204,,www.,stvinc.com
106,Sumatech Inc,21503 Oak Park Trails,,Katy,TX,77450,6/30/2020,6/9/2000,7135892321,NS,206,,www.,sumacon.com
107,Summit Consultants Inc,1300 Summit Ave Ste 500,,Ft. Worth,TX,76102,6/30/2020,6/9/2000,817 878 4242,NS,207,,www.,summitmep.com
108,"SUN BELT ENGINEERS, INC.",3211 NACOGDOCHES RD STE 101,,SAN ANTONIO,TX,78217,6/30/2020,6/9/2000,210 655 6110,NS,208,,www.,services.northsachamber.com
109,SUN CITY ANALYTICAL INC,1409 MONTANA AVE,,EL PASO,TX,79902-5617,6/30/2020,6/9/2000,915-533-8840,NS,209,,www.,suncityair.org
110,"Swoboda Engineering, LLC",7010 Coyote Run,,Bryan,TX,77808,6/30/2020,6/9/2000,9797743400,NS,213,,www.,swoboda-engineering.com
111,SYSTEMS INTEGRATION INC,PO BOX 150287,,ARLINGTON,TX,76015,6/30/2020,6/9/2000,817 468 1494,NS,216,,www.,sitexas.com
112,"Bureau Veritas North America, Inc. DBA T H Hill Associates",16800 Greenspoint Park Dr #300S,,Houston,TX,77060,6/30/2020,6/9/2000,281 671 5700,NS,217,,www.,linkedin.com
113,T J SMITH & COMPANY INC,1331 LAMAR ST STE 1340,,HOUSTON,TX,77010,6/30/2020,6/9/2000,7136510651,NS,220,,www.,yellowpages.com
114,TAZH T FONVILLE PE DBA FONVILLE ENGINEERING LLC,130 GREEN AVE,,TAFT,TX,78390,6/30/2020,6/9/2000,361 319 7474,SP,229,,www.,manta.com
115,TEAGUE NALL AND PERKINS INC,5237 N. Riverside Drive,Ste. 100,FT. WORTH,TX,76137,6/30/2020,6/9/2000,817-336-5773,NS,230,,www.,tnpinc.com
116,TECHDYNE,9733 County Road 168,,Breckenridge,TX,76424-6406,6/30/2020,6/9/2000,2144991234,SP,232,,www.,members.breckenridgetexas.com
117,TechServ Consulting and Training Ltd,12078 Hwy 64 West,,Tyler,TX,75704,6/30/2020,6/9/2000,9035098183,NS,233,,www.,techservltd.net
118,"Bureau Veritas North America, Inc.",1601 Sawgrass Corporate Parkway Suite 400,,Ft. Lauderdale,FL,33323,6/30/2020,6/9/2000,954 236 8100,NS,236,,www.,bvna.com
119,Texas American Engineering LLC,521 N Sam Houston Pkwy East,Suite 550,Houston,TX,77060,6/30/2020,6/9/2000,281 272 9000,NS,240,,www.,txame.net
120,TFL Inc,P O Box 671731,,Houston,TX,77267-1731,6/30/2020,6/9/2000,2815908500,NS,241,,www.,tflhouston.com
121,THE C T BRANNON CORPORATION,PO BOX 7487,,TYLER,TX,75711-7487,6/30/2020,6/9/2000,903-597-2122,NS,242,,www.,brannoncorp.com
122,THE CONSULTING ENGINEERS GROUP INC,"16302 Pleasantville Road, Suite 100",,SAN ANTONIO,TX,78233,6/30/2020,6/9/2000,210-637-0977,NS,243,,www.,cegengineers.com
123,EC MOORE ENGINEERING LP DBA THE MOORE GROUP INC,1000 CUERNAVACA,,AUSTIN,TX,78733,6/30/2020,6/9/2000,5124420377,NS,249,,www.,mooregroup.net
124,BASS ENERGY COMPANY,2601 RIDGMAR PLZ #202,,FT. WORTH,TX,76116,6/30/2020,6/16/2000,8177328804,SP,255,,www.,beexploration.com
125,BIGGS & MATHEWS ENVIRONMENTAL INC,1700 ROBERT RD STE 100,,MANSFIELD,TX,76063,6/30/2020,6/16/2000,8175631144,NS,256,,www.,biggsandmathews.com
126,BINKLEY & BARFIELD INC,1710 SEAMIST DR,,HOUSTON,TX,77008,6/30/2020,6/16/2000,7138693433,NS,257,,www.,binkleybarfield.com
127,BLACK & VEATCH CORPORATION,LAW DEPT P 7,11401 LAMAR,OVERLAND PARK,KS,66211,6/30/2020,6/16/2000,9134582127,NS,258,,www.,bv.com
128,BLUM CONSULTING ENGINEERS INC,8144 WALNUT HILL LN #200,,DALLAS,TX,75231,6/30/2020,6/16/2000,2143738222,NS,259,,www.,blumeng.com
129,BRANDT ENGINEERS INC,4537 CANYON DR,,AMARILLO,TX,79110,6/30/2020,6/16/2000,8063537233,SP,263,,www.,brandtengineers.com
130,"Bridgefarmer & Associates, Inc.",2350 Valley View Lane,,Dallas,TX,75234,6/30/2020,6/16/2000,972 231 8800,NS,264,,www.,bridgefarmer.com
131,Busch Hutchison & Associates Inc DBA Hutchison & Associates,1209 Decker Dr Ste 100,,Baytown,TX,77520,6/30/2020,6/16/2000,281 422 8213,NS,267,,www.,bhainc.com
132,CDM Federal Programs Corporation,10560 ARROWHEAD DRIVE,STE 500,FAIRFAX,TX,22030,6/30/2020,6/16/2000,703.691.6500,NS,271,,www.,dnb.com
133,CHARLES EVERETT BAKER PE,12503 Ella Lee Lane,,HOUSTON,TX,77077,6/30/2020,6/16/2000,281-497-4222,SP,272,,www.,linkedin.com
134,Cobb Fendley & Associates Inc DBA CobbFendley,13430 Northwest Freeway,Suite 1100,Houston,TX,77040,6/30/2020,6/16/2000,7134623242,NS,274,,www.,cobbfendley.com
135,GHD Services inc. DBA GHD Envrionmental and Consulting,2055 NIAGARA FALLS BLVD #3,,NIAGARA FALLS,NY,14304,6/30/2020,6/16/2000,7162976150,NS,276,,www.,ghd.com
136,"Conley Engineering, Inc.",P. O. Box 162713,,Austin,TX,78716-2713,6/30/2020,6/16/2000,5123283506,NS,277,,www.,conleyengineering.com
137,Corlett Probst & Boyd PLLC,4605 Old Jacksboro Highway,,Wichita Falls,TX,76302,6/30/2020,6/16/2000,9407231455,NS,279,,www.,cpbwf.com
138,Costello Inc,2107 CityWest Blvd.,3rd Floor,Houston,TX,77042,6/30/2020,6/16/2000,7137837788,NS,280,,www.,costelloinc.com
139,"Winton Engineering, Inc.",PO Box 20084,,Waco,TX,76702-0084,6/30/2020,6/16/2000,254 776 7024,NS,282,,www.,winton-eng.com
140,CUNNINGHAM-ALLEN INC,3103 BEE CAVES RD #202,,AUSTIN,TX,78746,6/30/2020,6/16/2000,5123272946,NS,284,,www.,cunningham-allen.com
141,DANIEL B STEPHENS & ASSOCIATES INC,Nancy Rebarchik,6020 ACADEMY RD NE STE 100,ALBUQUERQUE,TX,87109,6/30/2020,6/16/2000,5058229400,NS,286,,www.,dbstephens.com
142,DUDLEY WILLIAMS & ASSOCIATES PA,230 LAURA #200,,WICHITA,KS,67211,6/30/2020,6/16/2000,3162637591,NS,289,,www.,dwase.com
143,Enercon Services Inc,500 Townpark Lane,,Kennesaw,GA,30144,6/30/2020,6/16/2000,7709191930,NS,290,,www.,enercon.com
144,ENVIRONMENTAL INNOVATIONS LLC,10292 Jackson Road,,Krum,TX,76249,6/30/2020,6/16/2000,9729897956,SP,291,,www.,opencorporates.com
145,"Espey Consultants, Inc. DBA RPS","20405 Tomball Parkway, Suite 200",RPS ,Houston,TX,770700,6/30/2020,6/16/2000,281-448-6188,NS,293,,www.,rpsgroup.com
146,FANNING FANNING & ASSOCIATES INC,2555-74TH ST,,LUBBOCK,TX,79423,6/30/2020,6/16/2000,806 745 2533,NS,294,,www.,fanningfanning.com
147,FRANK W NEAL & ASSOCIATES INC,1015 W BROADWAY,,FT. WORTH,TX,76104-1182,6/30/2020,6/16/2000,8173321944,NS,296,,www.,fwna-eng.com
148,FAI Engineers,2824 W 7th Street,Suite 101,Fort Worth,TX,76107,6/30/2020,6/16/2000,8173360543,NS,298,,www.,faiengineers.com
149,"Fugro USA Land, Inc.",Attention: QHSSE Department,6100 Hillcroft,Houston,TX,77081,6/30/2020,6/16/2000,7133695400,NS,299,,www.,fugro.com
150,GLENN ENGINEERING CORP,4500 FULLER DRIVE,SUITE 220,IRVING,TX,75038,6/30/2020,6/16/2000,9727175151,NS,303,,www.,linkedin.com
151,Goodwin Engineering Inc,P O Box 26784,,El Paso,TX,79926,6/30/2020,6/16/2000,512 349 9667,NS,305,,www.,goodwinengineering.com
152,GREG FRANZ CONSULTING ENGINEERS,9337 S State Highway 16,,Fredericksburg,TX,78624-9413,6/30/2020,6/16/2000,2102687026,SP,307,,www.,buzzfile.com
153,GREGORY GEOTECHNICAL,2001 W 44TH AVE,,STILLWATER,OK,74074-2415,6/30/2020,6/16/2000,4057478200,SP,308,,www.,gregeo.com
154,GULF COAST PLANT ENGINEERING INC,405 W Brazos St,,VICTORIA,TX,77901,6/30/2020,6/16/2000,361-489-5242,SP,310,,www.,engineerunion.org
155,Haag Engineering Co,Atten: Monica Salinas,"1410 Lakeside Pkwy, Ste 100",Flower Mound,TX,75028,6/30/2020,6/16/2000,214 614 6561,NS,311,,www.,haagengineering.com
156,"Halff Associates, Inc.",Attention: Brandy Taylor,1201 N. Bowser,Richardson,TX,75081,6/30/2020,6/16/2000,214-346-6200,NS,312,,www.,halff.com
157,HATCH ASSOCIATES CONSULTANTS INC,GATEWAY VIEW PLAZA,1600 WEST CARSON STREET,PITTSBURGH,PA,15219-1031,6/30/2020,6/16/2000,4124972421,NS,314,,www.,bloomberg.com
158,HAYTER ENGINEERING INC,4445 SE Loop 286,,Paris,TX,75460,6/30/2020,6/16/2000,9037850303,NS,315,,www.,haytereng.com
159,HDR ARCHITECTURE INC,ATTN  LEGAL DEPARTMENT,1917 S. 67th Street,Omaha,TX,68106,6/30/2020,6/16/2000,402-399-1000,NS,316,,www.,hdrinc.com
