,firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes,www,domain
29,THE ARIZPE GROUP INC DBA ARIZPE,PO Box 143143,,AUSTIN,TX,78714-3143,5/31/2020,5/26/2000,5123393707,NS,53,,www.,
30,THE WALLACE GROUP INC,P.O. Box 22007,,Waco,TX,76702,5/31/2020,5/26/2000,254 772 9272,NS,54,,www.,
31,W A NEEL COMPANY INC,PO BOX 340,,Scottsville,TX,75688,5/31/2020,5/26/2000,903-938-5272,NS,56,Domain not found. Load the address,www.,
32,Waid Corporation DBA Waid Environmental,"13785 Research Blvd., Suite 100",,Austin,TX,78750,5/31/2020,5/26/2000,5122559999,NS,58,,www.,
33,WALDEMAR S. NELSON & COMPANY INC.,1200 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130-4334,5/31/2020,5/26/2000,504-523-5281,NS,59,,www.,
34,"Walker/Diloreto/Younie Inc DBA WDY, Inc.",6443 SW Beaverton-Hillsdale Hwy Ste 210,,Portland,OR,97221,5/31/2020,5/26/2000,5032038111,NS,60,,www.,
35,WALTER NELSON AND ASSOCIATES,1812 CARLA AVE,,ARLINGTON,TX,76014,5/31/2020,5/26/2000,817 642 9112,SP,62,,www.,
36,WEISHUHN ENGINEERING INC,PO BOX 358,,COLUMBUS,TX,78934,5/31/2020,5/26/2000,979 732 6997,NS,66,,www.,
37,WEISMAN ENGINEERING,3108 WILLOW BEND,,BEDFORD,TX,76021,5/31/2020,5/26/2000,682-738-3382,SP,67,,www.,
38,"Weisser Engineering Company, Inc. DBA Weisser Engineering Company / Weisser Engineering & Surveying",P. O. Box 219315,,Houston,TX,77218,5/31/2020,5/26/2000,2815797300,NS,68,,www.,
39,WHITE ENGINEERING ASSOCIATES INC,5104 N FRANCIS AVE STE 102,,OKLAHOMA CITY,OK,73118,5/31/2020,5/26/2000,4052088700,NS,75,,www.,
40,WRES Inc,6 Horizon Point,,Frisco,TX,75034-6840,5/31/2020,5/26/2000,214-348-3001,NS,76,,www.,
41,"WDP & Associates Consulting Engineers, Inc",10621 Gateway Blvd Ste 200,,Manassas,VA,20110,5/31/2020,5/26/2000,7032579280,NS,77,,www.,
42,WILLIAMSON PETROLEUM CONSULTANTS INC,6 Desta Drive,Suite 6525,MIDLAND,TX,79705,5/31/2020,5/26/2000,4326856100,NS,81,,www.,
43,"TRC Pipeline Services, LLC",21 Griffin Road North,,Windsor,OK,6095,5/31/2020,5/26/2000,8602986347,NS,82,,www.,
44,"WILLIAM A WALLACE-STRUCTURAL ENGINEERING RESOURCES,PLLC DBA Structural Engineering,PLLC Resources",1980 FLOYD HAMPTON RD,,CROWLEY,TX,76036,5/31/2020,5/26/2000,8172972513,SP,83,,www.,
45,WILLIAM M COBB & ASSOCIATES INC,12770 COIT RD STE 907,,DALLAS,TX,75251,5/31/2020,5/26/2000,9723850354,NS,84,,www.,
46,WILSON ENGINEERING,13617 FITZHUGH RD,,AUSTIN,TX,78736-6401,5/31/2020,5/26/2000,512 785 1699,SP,88,,www.,
47,WINKELMANN & ASSOCIATES INC,6750 HILLCREST PLAZA DR STE.  215,,DALLAS,TX,75230,5/31/2020,5/26/2000,972 490 7090,NS,89,,www.,
48,WINTER ENTERPRISES,254 Luckey Rd,,Lytle,TX,78052,5/31/2020,5/26/2000,2106018540,SP,90,,www.,
